of_ratio,chamber_pressure_bar,chamber_temperature,gamma,molecular_weight,gas_constant,density,cp_mass,cv_mass,sound_speed,viscosity,thermal_conductivity,prandtl,mole_fraction_co2,mole_fraction_h2o,mole_fraction_co,mole_fraction_h2,mole_fraction_o2,exit_mach,exit_pressure_bar,exit_temperature,exit_velocity,thrust_coefficient,thrust_coefficient_vacuum,characteristic_velocity,specific_impulse,specific_impulse_vacuum,ambient_pressure_bar,nozzle_area_ratio
3.7500000000000004,20.0,3455.624806555029,1.2040896069024514,21.82721440687198,380.92183744415655,1.5193839769625674,2247.3659118169685,1866.4440743728117,1258.9562281597528,0.00010245436209849242,0.3766901699611346,0.6112515251482693,0.12338681889189107,0.44117194847465246,0.16303821774529967,0.07095827661432112,0.056458216519438435,3.574515942456374,0.14542101176104175,1499.9392271465397,2964.8410093610933,1.0370261689201656,1.7870261689201656,1766.931443385775,186.84812300621812,321.98077100929066,1.0,15.0
3.8000000000000003,20.0,3455.0510664258036,1.2039433967757638,21.936072580275066,379.03150565017785,1.5272151174356146,2237.544758064641,1858.513252414463,1255.648046282093,0.00010255987098630136,0.37450721025362177,0.6127580335710378,0.12502641950984278,0.4401704715419805,0.1598287958957107,0.06850068988144234,0.06013178504520123,3.573986403195974,0.14548673547036567,1500.5499919901608,2957.4595969294924,1.0371326970225514,1.7871326970225514,1762.4722868689778,186.39572497314853,321.18734241149224,1.0,15.0
3.8500000000000005,20.0,3454.1973998185663,1.203809536641396,22.043034591083526,377.19228647023334,1.5350412126411292,2227.901986742531,1850.7097002722974,1252.3734948424576,0.00010265469959449704,0.3723485494320903,0.6142218346865059,0.1266068075513378,0.4391099968670277,0.15668658144358152,0.06616644404014761,0.06386160070865711,3.5735016820449665,0.14554693496273752,1500.966693689431,2950.120868965072,1.0372302611120507,1.7872302611120507,1758.0439216932702,185.94487984626397,320.3978216021085,1.0,15.0
3.9000000000000004,20.0,3453.0878179514225,1.2036871589890383,22.148164605281927,375.40187940315354,1.542857904223654,2218.4335229607923,1843.0316435576387,1249.1334740957084,0.00010273956896259494,0.37021503880117873,0.615644639016315,0.12812979588162282,0.4379969168982284,0.15361033293603074,0.06394708092256501,0.06764254686758063,3.5730586148029344,0.14560199340190552,1501.2046138390065,2942.8296358801026,1.0373194847505158,1.7873194847505158,1753.6488220400988,185.49597390668418,319.6127840844793,1.0,15.0
3.95,20.0,3451.7439567823867,1.2035754766894573,22.25152278043553,373.65814017293525,1.5506613941229859,2209.135311831136,1835.4771716582009,1245.9286589635028,0.00010281514090524775,0.36810731891933,0.6170280966743079,0.1295971685697122,0.436836973990282,0.15059876418337131,0.06183485602772004,0.07146981058875106,3.5726543322341513,0.14565225898663298,1501.277594125819,2935.5899292249455,1.0374009343961936,1.7874009343961936,1749.2890339352355,185.0493367595895,318.83271594120873,1.0,15.0
4.0,20.0,3450.185338775317,1.203473774308041,22.353165603191314,371.95906681629924,1.5584483764218748,2200.003334836743,1828.0442680204433,1242.7595316890042,0.00010288202355014132,0.36602585151610617,0.6183737950954636,0.1310106739465056,0.4356353322405749,0.1476505590807228,0.059822671076974365,0.07533887032055249,3.5722862279761474,0.14569804866471187,1501.198188885375,2928.405104937439,1.0374751254937098,1.78747512549371,1744.9662329844548,184.60524863718328,318.05802555267854,1.0,15.0
4.050000000000001,20.0,3448.4296040380227,1.2033814004412344,22.453146196846337,370.3027872023142,1.5662159773216282,2191.0336229569366,1820.7308357546224,1239.6264099253754,0.00010294077633559187,0.3639709468180814,0.6196832579532878,0.13237201950315838,0.4343966409276058,0.14476438375219222,0.057904012991146295,0.07924548260002762,3.5719519302615446,0.14573965141977696,1500.9778006068193,2921.277932825252,1.0375425278596877,1.7875425278596877,1740.6817743346635,184.16394674455327,317.28905376387155,1.0,15.0
4.1000000000000005,20.0,3446.4927144144285,1.2032977609519457,22.551514601106053,368.6875478308429,1.5739617028706974,2182.222267074458,1813.5347192436157,1236.5294709018026,0.00010299191451541732,0.3619427869304621,0.6209579450117703,0.13368286826743772,0.43312509051909864,0.14193889646325294,0.056072898804353274,0.08318566825731973,3.571649276984682,0.1457773311807659,1500.6268002420186,2914.2106741442817,1.03760357044691,1.78760357044691,1736.4367359220885,183.72563077584468,316.5260827081117,1.0,15.0
4.15,20.0,3444.389133714249,1.203222312995137,22.64831802607777,367.1117037733127,1.5816833934909382,2173.565426116773,1806.4537223434602,1233.4687722204878,0.00010303591321608803,0.3599414458368231,0.6221992526984119,0.13494483635894738,0.43182446212331754,0.13917275567686518,0.054323826018444626,0.0871556984641344,3.571376293703108,0.14581132939815772,1500.1546339951285,2907.2051488854095,1.037658645560322,1.7876586455603223,1732.2319559248585,183.29046771132815,315.76934346845667,1.0,15.0
4.200000000000001,20.0,3442.131986893823,1.2031545597374822,22.74360108244939,365.57370963427957,1.5893791841013274,2165.0593333223546,1799.485623688075,1230.4442697583197,0.00010307321108827015,0.3579669065018688,0.6234085152254136,0.1361594914778126,0.4304981711713411,0.1364646265664895,0.05265172791014256,0.09115208088022006,3.5711311742128453,0.14584186732632107,1499.5699181008058,2900.2627941613514,1.0377081125899985,1.7877081125899987,1728.0680652103802,182.8585959911401,315.019022732972,1.0,15.0
4.25,20.0,3439.7332008024896,1.2030940456849935,22.837405990252112,364.07211141677715,1.5970474697859736,2156.700300927888,1792.628189511111,1227.4558330866312,0.00010310421359439283,0.35601907549598943,0.6245870061208706,0.13732835213621472,0.4291493060214907,0.13381318624781546,0.05105193331768274,0.09517154608844144,3.5709122633750514,0.14586914804751094,1498.8805230075857,2893.38471491676,1.0377523013199066,1.7877523013199068,1723.9455154709453,182.43012915012835,314.275268581352,1.0,15.0
4.300000000000001,20.0,3437.20362842651,1.2030403525516498,22.92977276722218,362.6055392070287,1.6046868730735426,2148.484723566644,1785.879184359615,1224.5032587341345,0.00010312929596292091,0.35409779549027876,0.6257359400437207,0.13845288745160614,0.4277806620934915,0.13121712795305637,0.04952013047900306,0.09921103444660011,3.5707180419429214,0.14589335826502478,1498.0936480166745,2886.5717279243704,1.0377915148579413,1.7877915148579413,1719.8646035934669,182.00515898026512,313.5381955110988,1.0,15.0
4.3500000000000005,20.0,3434.55315958086,1.202993095577922,23.020739401550113,361.1727005429453,1.6122962225381428,2140.409080552253,1779.2363800093076,1221.5862816754804,0.00010314880586258337,0.35220285596164774,0.6268564748391372,0.13953451744170214,0.4263947721162123,0.12867516430948328,0.048052334476326966,0.10326768345028887,3.570547113051929,0.14591466990438934,1497.2158880470672,2879.8244002311167,1.037826032251036,1.7878260322510362,1715.8254929191023,181.5837583019084,312.8078888346925,1.0,15.0
4.4,20.0,3431.7908180499803,1.2029519202863148,23.11034200536785,359.77237447295397,1.619874523941943,2132.4699373509234,1772.6975628779692,1218.704585160004,0.00010316306579230173,0.3503340023168463,0.6279497136794484,0.14057461359375428,0.4249939329075227,0.12618602990772704,0.046644857982290296,0.107338815647407,3.5703981903208097,0.14593324152658493,1496.2532924811285,2873.1430823716973,1.0378561107924824,1.7878561107924822,1711.8282315756499,181.16598336515293,312.0844084829798,1.0,15.0
